Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"RFB","Fertilizers by Product","10","Australia","5910","Export Quantity","4007","Ammonia, anhydrous","2012","2012","tonnes","469016.97","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFB","Fertilizers by Product","10","Australia","5910","Export Quantity","4007","Ammonia, anhydrous","2013","2013","tonnes","694539.01","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFB","Fertilizers by Product","10","Australia","5910","Export Quantity","4007","Ammonia, anhydrous","2014","2014","tonnes","525077.58","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFB","Fertilizers by Product","10","Australia","5910","Export Quantity","4007","Ammonia, anhydrous","2015","2015","tonnes","526052.02","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFB","Fertilizers by Product","10","Australia","5910","Export Quantity","4007","Ammonia, anhydrous","2016","2016","tonnes","373522.71","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFB","Fertilizers by Product","10","Australia","5910","Export Quantity","4007","Ammonia, anhydrous","2017","2017","tonnes","377216.02","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFB","Fertilizers by Product","10","Australia","5922","Export Value","4007","Ammonia, anhydrous","2002","2002","1000 US$","93.68","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFB","Fertilizers by Product","10","Australia","5922","Export Value","4007","Ammonia, anhydrous","2003","2003","1000 US$","2880.71","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFB","Fertilizers by Product","10","Australia","5922","Export Value","4007","Ammonia, anhydrous","2004","2004","1000 US$","63.6","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFB","Fertilizers by Product","10","Australia","5922","Export Value","4007","Ammonia, anhydrous","2005","2005","1000 US$","73.24","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFB","Fertilizers by Product","10","Australia","5922","Export Value","4007","Ammonia, anhydrous","2006","2006","1000 US$","69358.29","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFB","Fertilizers by Product","10","Australia","5922","Export Value","4007","Ammonia, anhydrous","2007","2007","1000 US$","176365.65","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFB","Fertilizers by Product","10","Australia","5922","Export Value","4007","Ammonia, anhydrous","2008","2008","1000 US$","116819.39","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFB","Fertilizers by Product","10","Australia","5922","Export Value","4007","Ammonia, anhydrous","2009","2009","1000 US$","116326.38","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFB","Fertilizers by Product","10","Australia","5922","Export Value","4007","Ammonia, anhydrous","2010","2010","1000 US$","145978.56","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFB","Fertilizers by Product","10","Australia","5922","Export Value","4007","Ammonia, anhydrous","2011","2011","1000 US$","115176.29","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFB","Fertilizers by Product","10","Australia","5922","Export Value","4007","Ammonia, anhydrous","2012","2012","1000 US$","244665.77","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFB","Fertilizers by Product","10","Australia","5922","Export Value","4007","Ammonia, anhydrous","2013","2013","1000 US$","342916.18","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFB","Fertilizers by Product","10","Australia","5922","Export Value","4007","Ammonia, anhydrous","2014","2014","1000 US$","265435.46","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFB","Fertilizers by Product","10","Australia","5922","Export Value","4007","Ammonia, anhydrous","2015","2015","1000 US$","215515.09","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFB","Fertilizers by Product","10","Australia","5922","Export Value","4007","Ammonia, anhydrous","2016","2016","1000 US$","98207.79","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFB","Fertilizers by Product","10","Australia","5922","Export Value","4007","Ammonia, anhydrous","2017","2017","1000 US$","87544.43","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFB","Fertilizers by Product","10","Australia","5157","Agricultural Use","4007","Ammonia, anhydrous","2014","2014","tonnes","45524","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFB","Fertilizers by Product","10","Australia","5157","Agricultural Use","4007","Ammonia, anhydrous","2015","2015","tonnes","40000","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFB","Fertilizers by Product","10","Australia","5157","Agricultural Use","4007","Ammonia, anhydrous","2016","2016","tonnes","39761","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFB","Fertilizers by Product","10","Australia","5157","Agricultural Use","4007","Ammonia, anhydrous","2017","2017","tonnes","35411","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFB","Fertilizers by Product","10","Australia","5610","Import Quantity","4003","Ammonium nitrate (AN)","2002","2002","tonnes","70891.46","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
