Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"RFB","Fertilizers by Product","231","United States of America","5922","Export Value","4007","Ammonia, anhydrous","2006","2006","1000 US$","79025.72","R","Estimated data using trading partners database"
"RFB","Fertilizers by Product","231","United States of America","5922","Export Value","4007","Ammonia, anhydrous","2007","2007","1000 US$","53174.2","R","Estimated data using trading partners database"
"RFB","Fertilizers by Product","231","United States of America","5922","Export Value","4007","Ammonia, anhydrous","2008","2008","1000 US$","46809.44","R","Estimated data using trading partners database"
"RFB","Fertilizers by Product","231","United States of America","5922","Export Value","4007","Ammonia, anhydrous","2009","2009","1000 US$","19358.63","R","Estimated data using trading partners database"
"RFB","Fertilizers by Product","231","United States of America","5922","Export Value","4007","Ammonia, anhydrous","2010","2010","1000 US$","28545.66","R","Estimated data using trading partners database"
"RFB","Fertilizers by Product","231","United States of America","5922","Export Value","4007","Ammonia, anhydrous","2011","2011","1000 US$","14798.22","R","Estimated data using trading partners database"
"RFB","Fertilizers by Product","231","United States of America","5922","Export Value","4007","Ammonia, anhydrous","2012","2012","1000 US$","19293.43","R","Estimated data using trading partners database"
"RFB","Fertilizers by Product","231","United States of America","5922","Export Value","4007","Ammonia, anhydrous","2013","2013","1000 US$","35794.07","R","Estimated data using trading partners database"
"RFB","Fertilizers by Product","231","United States of America","5922","Export Value","4007","Ammonia, anhydrous","2014","2014","1000 US$","40720.2","R","Estimated data using trading partners database"
"RFB","Fertilizers by Product","231","United States of America","5922","Export Value","4007","Ammonia, anhydrous","2015","2015","1000 US$","88712.47","R","Estimated data using trading partners database"
"RFB","Fertilizers by Product","231","United States of America","5922","Export Value","4007","Ammonia, anhydrous","2016","2016","1000 US$","57079.29","R","Estimated data using trading partners database"
"RFB","Fertilizers by Product","231","United States of America","5922","Export Value","4007","Ammonia, anhydrous","2017","2017","1000 US$","187041.34","R","Estimated data using trading partners database"
"RFB","Fertilizers by Product","231","United States of America","5157","Agricultural Use","4007","Ammonia, anhydrous","2012","2012","tonnes","4111265","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFB","Fertilizers by Product","231","United States of America","5157","Agricultural Use","4007","Ammonia, anhydrous","2013","2013","tonnes","3849871","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFB","Fertilizers by Product","231","United States of America","5157","Agricultural Use","4007","Ammonia, anhydrous","2014","2014","tonnes","3531865","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFB","Fertilizers by Product","231","United States of America","5157","Agricultural Use","4007","Ammonia, anhydrous","2015","2015","tonnes","3504799","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFB","Fertilizers by Product","231","United States of America","5157","Agricultural Use","4007","Ammonia, anhydrous","2016","2016","tonnes","3495596","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFB","Fertilizers by Product","231","United States of America","5157","Agricultural Use","4007","Ammonia, anhydrous","2017","2017","tonnes","3451452","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFB","Fertilizers by Product","231","United States of America","5510","Production","4003","Ammonium nitrate (AN)","2008","2008","tonnes","2225396.85","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFB","Fertilizers by Product","231","United States of America","5510","Production","4003","Ammonium nitrate (AN)","2009","2009","tonnes","1998086","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFB","Fertilizers by Product","231","United States of America","5510","Production","4003","Ammonium nitrate (AN)","2010","2010","tonnes","2001924.41","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFB","Fertilizers by Product","231","United States of America","5510","Production","4003","Ammonium nitrate (AN)","2011","2011","tonnes","2163167.72","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFB","Fertilizers by Product","231","United States of America","5510","Production","4003","Ammonium nitrate (AN)","2012","2012","tonnes","1997673.84","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFB","Fertilizers by Product","231","United States of America","5510","Production","4003","Ammonium nitrate (AN)","2013","2013","tonnes","1710652","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFB","Fertilizers by Product","231","United States of America","5510","Production","4003","Ammonium nitrate (AN)","2014","2014","tonnes","1719207","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFB","Fertilizers by Product","231","United States of America","5510","Production","4003","Ammonium nitrate (AN)","2015","2015","tonnes","1330233","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFB","Fertilizers by Product","231","United States of America","5510","Production","4003","Ammonium nitrate (AN)","2016","2016","tonnes","1165265","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
