Commod_dsc,lon,lat,State,Area_ha,code,region,annual_temp,annual_rain,annual_solar,area,businesses,yield
grapes wine,115.274915540419,-33.7689708862603,WA,30.4229,501011003,Busselton Region,16.5674991607666,940.146728515625,18.0233192443848,2616.86,105.25,7.22
grapes wine,115.245210822927,-33.7686202282506,WA,12.2971,501011003,Busselton Region,16.5799999237061,940.146728515625,17.9856491088867,2616.86,105.25,7.22
grapes wine,115.140473695637,-33.7655713275255,WA,4.68321,501011003,Busselton Region,16.5733299255371,981.507385253906,18.0122890472412,2616.86,105.25,7.22
grapes wine,115.233164737408,-33.7652843625109,WA,13.189,501011003,Busselton Region,16.5799999237061,940.146728515625,17.9856491088867,2616.86,105.25,7.22
grapes wine,115.238023824216,-33.7652812365593,WA,12.4245,501011003,Busselton Region,16.5799999237061,940.146728515625,17.9856491088867,2616.86,105.25,7.22
grapes wine,115.24489994046,-33.7649576922078,WA,11.2665,501011003,Busselton Region,16.5799999237061,940.146728515625,17.9856491088867,2616.86,105.25,7.22
grapes wine,115.22643558577,-33.7540996275625,WA,31.9772,501011003,Busselton Region,16.5799999237061,940.146728515625,17.9856491088867,2616.86,105.25,7.22
grapes wine,115.046435501842,-33.750309693332,WA,4.01327,501011003,Busselton Region,16.6758308410645,1012.31402587891,18.0362205505371,2616.86,105.25,7.22
grapes wine,115.007340205841,-33.7412020369451,WA,1.49743,501011003,Busselton Region,16.5316696166992,992.8623046875,18.1292304992676,2616.86,105.25,7.22
grapes wine,115.081018424149,-33.7317066526844,WA,19.1383,501011003,Busselton Region,16.5008296966553,995.148071289062,18.0478992462158,2616.86,105.25,7.22
grapes wine,115.198507218441,-33.722217099434,WA,5.03012,501011003,Busselton Region,16.7237491607666,930.885620117188,18.1159591674805,2616.86,105.25,7.22
grapes wine,115.197147931505,-33.7200188301835,WA,5.37536,501011003,Busselton Region,16.7237491607666,930.885620117188,18.1159591674805,2616.86,105.25,7.22
grapes wine,115.134571072604,-33.7191675147405,WA,1.77196,501011003,Busselton Region,16.6183300018311,947.716674804688,18.0842990875244,2616.86,105.25,7.22
grapes wine,115.054258811335,-33.71437097257,WA,5.7887,501011003,Busselton Region,16.4633293151855,965.177429199219,18.1091899871826,2616.86,105.25,7.22
grapes wine,115.094144985469,-33.7033094630961,WA,1.64403,501011003,Busselton Region,16.4225006103516,967.185729980469,18.0841007232666,2616.86,105.25,7.22
grapes wine,115.163719231715,-33.7021056145128,WA,2.09431,501011003,Busselton Region,16.6270809173584,947.716674804688,18.0842990875244,2616.86,105.25,7.22
grapes wine,115.028391059831,-33.6864058053553,WA,0.54804,501011003,Busselton Region,16.6783294677734,965.177429199219,18.1091899871826,2616.86,105.25,7.22
grapes wine,115.194231854893,-33.6854839231196,WA,3.9454,501011002,Busselton,16.8174991607666,930.885620117188,18.1159591674805,84.16,3.32,6.56
grapes wine,115.029360084236,-33.6851635839573,WA,2.4956,501011003,Busselton Region,16.6783294677734,965.177429199219,18.1091899871826,2616.86,105.25,7.22
grapes wine,115.16828537988,-33.6727066031453,WA,11.4547,501011003,Busselton Region,16.8941707611084,920.824829101562,18.0842990875244,2616.86,105.25,7.22
grapes wine,115.636755765834,-33.6094990133857,WA,0.524923,501021007,Capel,16.5795803070068,887.055786132812,18.2287502288818,8.54,2.22,11.3
grapes wine,115.861264344845,-33.3952649257755,WA,1.86326,501021010,Dardanup,16.1937503814697,1007.28302001953,18.1919002532959,166.59,4.46,5.58
grapes wine,115.863994905987,-33.3927327280796,WA,5.20877,501021010,Dardanup,16.1937503814697,1007.28302001953,18.1919002532959,166.59,4.46,5.58
grapes wine,115.848052513716,-33.0616312411912,WA,3.31106,501021014,Harvey,17.4195804595947,975.335571289062,18.5982398986816,67.17,10.15,5.15
grapes wine,115.944726348816,-32.9462586053865,WA,1.71278,501021014,Harvey,16.7887496948242,1103.33605957031,18.4034690856934,67.17,10.15,5.15
grapes wine,115.797183097965,-32.4293344389654,WA,0.0723192,507051185,Baldivis,18.0983295440674,887.759216308594,19.1793003082275,1.45,1.12,8.45
grapes wine,115.797443030273,-32.4295045195668,WA,0.286366,507051185,Baldivis,18.0983295440674,887.759216308594,19.1793003082275,1.45,1.12,8.45
grapes wine,115.793189520474,-32.4151394254505,WA,0.119739,507051185,Baldivis,18.2325000762939,888.170288085938,19.1987991333008,1.45,1.12,8.45
grapes wine,115.797347464564,-32.4110390610738,WA,0.64991,507051185,Baldivis,18.2325000762939,888.170288085938,19.1987991333008,1.45,1.12,8.45
grapes wine,115.796682791685,-32.4106319857318,WA,0.49642,507051185,Baldivis,18.2325000762939,888.170288085938,19.1987991333008,1.45,1.12,8.45
grapes wine,115.784878135001,-32.4101225154176,WA,0.887156,507051185,Baldivis,18.2325000762939,888.170288085938,19.1987991333008,1.45,1.12,8.45
grapes wine,116.052762866093,-32.3510614731016,WA,3.24804,506061144,Serpentine - Jarrahdale,17.3108291625977,1092.36401367188,18.771110534668,8.87,1.11,5.38
grapes wine,116.050498324877,-32.3509093602556,WA,0.648646,506061144,Serpentine - Jarrahdale,17.3108291625977,1092.36401367188,18.771110534668,8.87,1.11,5.38
grapes wine,116.055178554426,-32.3508419320391,WA,0.534233,506061144,Serpentine - Jarrahdale,17.3108291625977,1092.36401367188,18.771110534668,8.87,1.11,5.38
grapes wine,116.049247999351,-32.3484775944138,WA,0.286667,506061144,Serpentine - Jarrahdale,17.625,1092.36401367188,18.771110534668,8.87,1.11,5.38
grapes wine,116.049601933615,-32.3478381964374,WA,1.1131,506061144,Serpentine - Jarrahdale,17.625,1092.36401367188,18.771110534668,8.87,1.11,5.38
grapes wine,116.047539667718,-32.3477472820247,WA,1.01376,506061144,Serpentine - Jarrahdale,17.625,1092.36401367188,18.771110534668,8.87,1.11,5.38
grapes wine,116.048588587356,-32.3472010304414,WA,0.299911,506061144,Serpentine - Jarrahdale,17.625,1092.36401367188,18.771110534668,8.87,1.11,5.38
grapes wine,115.979807199981,-31.8869224381769,WA,0.827322,504031062,Lockridge - Kiara,18.5408306121826,801.05322265625,19.1577205657959,113.46,19.03,8.91
grapes wine,115.987626922272,-31.8859734069787,WA,10.2817,504031062,Lockridge - Kiara,18.5408306121826,801.05322265625,19.1577205657959,113.46,19.03,8.91
